=== collection: CBETA T18 密教部 ===
[canon] T  [volumes] 1: ['T18']...

[volume] T18
  [files] 76
  [ok] cbeta-T19n0941: 1 juans, 2067 bytes
  [ok] cbeta-T19n0942: 1 juans, 4793 bytes
  [ok] cbeta-T19n0943: 1 juans, 3349 bytes
  [ok] cbeta-T19n0944A: 1 juans, 9589 bytes
  [ok] cbeta-T19n0944B: 1 juans, 10884 bytes
  [ok] cbeta-T19n0945: 10 juans, 240114 bytes
  [ok] cbeta-T19n0946: 4 juans, 115077 bytes
  [ok] cbeta-T19n0947: 1 juans, 38131 bytes
  [ok] cbeta-T19n0948: 1 juans, 4653 bytes
  [ok] cbeta-T19n0949: 1 juans, 11256 bytes
  [ok] cbeta-T19n0950: 5 juans, 163080 bytes
  [ok] cbeta-T19n0951: 5 juans, 186379 bytes
  [ok] cbeta-T19n0952: 4 juans, 102386 bytes
  [ok] cbeta-T19n0953: 3 juans, 97964 bytes
  [ok] cbeta-T19n0954A: 1 juans, 10365 bytes
  [ok] cbeta-T19n0954B: 1 juans, 9503 bytes
  [ok] cbeta-T19n0955: 1 juans, 11112 bytes
  [ok] cbeta-T19n0956: 1 juans, 22813 bytes
  [ok] cbeta-T19n0957: 1 juans, 39945 bytes
  [ok] cbeta-T19n0958: 1 juans, 2572 bytes
  [ok] cbeta-T19n0959: 1 juans, 7074 bytes
  [ok] cbeta-T19n0960: 1 juans, 2879 bytes
  [ok] cbeta-T19n0961: 1 juans, 20285 bytes
  [ok] cbeta-T19n0962: 1 juans, 11295 bytes
  [ok] cbeta-T19n0963: 1 juans, 3009 bytes
  [ok] cbeta-T19n0964: 1 juans, 3072 bytes
  [ok] cbeta-T19n0965: 1 juans, 14499 bytes
  [ok] cbeta-T19n0966: 1 juans, 23616 bytes
  [ok] cbeta-T19n0967: 1 juans, 16622 bytes
  [ok] cbeta-T19n0968: 1 juans, 9241 bytes
  [ok] cbeta-T19n0969: 1 juans, 11060 bytes
  [ok] cbeta-T19n0970: 1 juans, 19718 bytes
  [ok] cbeta-T19n0971: 1 juans, 12061 bytes
  [ok] cbeta-T19n0972: 1 juans, 11366 bytes
  [ok] cbeta-T19n0973: 2 juans, 60768 bytes
  [ok] cbeta-T19n0974A: 1 juans, 1854 bytes
  [ok] cbeta-T19n0974B: 1 juans, 4509 bytes
  [ok] cbeta-T19n0974C: 1 juans, 9923 bytes
  [ok] cbeta-T19n0974D: 1 juans, 1445 bytes
  [ok] cbeta-T19n0974E: 1 juans, 31228 bytes
  [ok] cbeta-T19n0974F: 1 juans, 9765 bytes
  [ok] cbeta-T19n0975: 1 juans, 10795 bytes
  [ok] cbeta-T19n0976: 1 juans, 11756 bytes
  [ok] cbeta-T19n0977: 1 juans, 16912 bytes
  [ok] cbeta-T19n0978: 1 juans, 10972 bytes
  [ok] cbeta-T19n0979: 1 juans, 2274 bytes
  [ok] cbeta-T19n0980: 1 juans, 2330 bytes
  [ok] cbeta-T19n0981: 1 juans, 12327 bytes
  [ok] cbeta-T19n0982: 3 juans, 83414 bytes
  [ok] cbeta-T19n0983A: 1 juans, 6902 bytes
  [ok] cbeta-T19n0983B: 1 juans, 22454 bytes
  [ok] cbeta-T19n0984: 2 juans, 54543 bytes
  [ok] cbeta-T19n0985: 3 juans, 89712 bytes
  [ok] cbeta-T19n0986: 1 juans, 5402 bytes
  [ok] cbeta-T19n0987: 1 juans, 12472 bytes
  [ok] cbeta-T19n0988: 1 juans, 12454 bytes
  [ok] cbeta-T19n0989: 2 juans, 27698 bytes
  [ok] cbeta-T19n0990: 1 juans, 1769 bytes
  [ok] cbeta-T19n0991: 2 juans, 29113 bytes
  [ok] cbeta-T19n0992: 1 juans, 26323 bytes
  [ok] cbeta-T19n0993: 1 juans, 28918 bytes
  [ok] cbeta-T19n0994: 1 juans, 17729 bytes
  [ok] cbeta-T19n0995: 1 juans, 9113 bytes
  [ok] cbeta-T19n0996: 1 juans, 10441 bytes
  [ok] cbeta-T19n0997: 10 juans, 283937 bytes
  [ok] cbeta-T19n0998: 1 juans, 5162 bytes
  [ok] cbeta-T19n0999: 3 juans, 73830 bytes
  [ok] cbeta-T19n1000: 1 juans, 31824 bytes
  [ok] cbeta-T19n1001: 1 juans, 20403 bytes
  [ok] cbeta-T19n1002: 1 juans, 2354 bytes
  [ok] cbeta-T19n1003: 2 juans, 49225 bytes
  [ok] cbeta-T19n1004: 1 juans, 3724 bytes
  [ok] cbeta-T19n1005A: 3 juans, 71017 bytes
  [ok] cbeta-T19n1005B: 1 juans, 5302 bytes
  [polite-pause] 30s break after 100 requests
  [ok] cbeta-T19n1006: 6 juans, 98094 bytes
  [ok] cbeta-T19n1007: 1 juans, 48524 bytes
  [ok] cbeta-T19n1008: 1 juans, 32218 bytes
  [ok] cbeta-T19n1009: 1 juans, 19889 bytes
  [ok] cbeta-T19n1010: 1 juans, 2863 bytes
  [ok] cbeta-T19n1011: 1 juans, 11357 bytes
  [ok] cbeta-T19n1012: 1 juans, 14294 bytes
  [ok] cbeta-T19n1013: 1 juans, 17307 bytes
  [ok] cbeta-T19n1014: 1 juans, 19579 bytes
  [ok] cbeta-T19n1015: 1 juans, 17348 bytes
  [ok] cbeta-T19n1016: 1 juans, 15635 bytes
  [ok] cbeta-T19n1017: 1 juans, 22008 bytes
  [ok] cbeta-T19n1018: 1 juans, 25654 bytes
  [ok] cbeta-T19n1019: 1 juans, 6502 bytes
  [ok] cbeta-T19n1020: 1 juans, 1514 bytes
  [ok] cbeta-T19n1021: 1 juans, 425 bytes
  [ok] cbeta-T19n1022A: 1 juans, 9934 bytes
  [ok] cbeta-T19n1022B: 1 juans, 12209 bytes
  [ok] cbeta-T19n1023: 1 juans, 12173 bytes
  [ok] cbeta-T19n1024: 1 juans, 18030 bytes
  [ok] cbeta-T19n1025: 2 juans, 19092 bytes
  [ok] cbeta-T19n1026: 1 juans, 8170 bytes
  [ok] cbeta-T19n1027a: 1 juans, 28003 bytes
  [ok] cbeta-T19n1027b: 1 juans, 27899 bytes
  [ok] cbeta-T19n1028A: 1 juans, 5099 bytes
  [ok] cbeta-T19n1028B: 1 juans, 5488 bytes
  [ok] cbeta-T19n1029: 1 juans, 1988 bytes

[summary] {"ok": 126}
=== CBETA T19 DONE ===
=== collection: CBETA T20 ===
[canon] T  [volumes] 1: ['T20']...

[volume] T20
  [files] 184
  [ok] cbeta-T20n1030: 1 juans, 16530 bytes
  [ok] cbeta-T20n1031: 1 juans, 7093 bytes
  [ok] cbeta-T20n1032: 1 juans, 7874 bytes
  [ok] cbeta-T20n1033: 1 juans, 28330 bytes
  [ok] cbeta-T20n1034: 1 juans, 1594 bytes
  [ok] cbeta-T20n1035: 1 juans, 3486 bytes
  [ok] cbeta-T20n1036: 1 juans, 3912 bytes
  [ok] cbeta-T20n1037: 1 juans, 5758 bytes
  [ok] cbeta-T20n1038: 1 juans, 6935 bytes
  [ok] cbeta-T20n1039: 1 juans, 32465 bytes
  [ok] cbeta-T20n1040: 1 juans, 5826 bytes
  [ok] cbeta-T20n1041: 1 juans, 3067 bytes
  [ok] cbeta-T20n1042: 1 juans, 2802 bytes
  [ok] cbeta-T20n1043: 1 juans, 18754 bytes
  [ok] cbeta-T20n1044: 1 juans, 6509 bytes
  [ok] cbeta-T20n1045a: 1 juans, 8882 bytes
  [ok] cbeta-T20n1045b: 1 juans, 9292 bytes
  [ok] cbeta-T20n1046: 1 juans, 1283 bytes
  [ok] cbeta-T20n1047: 1 juans, 2035 bytes
  [ok] cbeta-T20n1048: 1 juans, 7570 bytes
  [ok] cbeta-T20n1049: 1 juans, 2261 bytes
  [ok] cbeta-T20n1050: 4 juans, 85765 bytes
  [ok] cbeta-T20n1051: 1 juans, 12615 bytes
  [ok] cbeta-T20n1052: 1 juans, 7464 bytes
  [ok] cbeta-T20n1053: 1 juans, 8956 bytes
  [ok] cbeta-T20n1054: 1 juans, 4776 bytes
  [ok] cbeta-T20n1055: 1 juans, 4509 bytes
  [ok] cbeta-T20n1056: 2 juans, 38455 bytes
  [ok] cbeta-T20n1057a: 2 juans, 28862 bytes
  [ok] cbeta-T20n1057b: 2 juans, 24653 bytes
  [ok] cbeta-T20n1058: 1 juans, 31197 bytes
  [ok] cbeta-T20n1059: 1 juans, 8534 bytes
  [ok] cbeta-T20n1060: 1 juans, 33621 bytes
  [ok] cbeta-T20n1061: 1 juans, 6444 bytes
  [ok] cbeta-T20n1062A: 1 juans, 1973 bytes
  [ok] cbeta-T20n1062B: 1 juans, 1008 bytes
  [ok] cbeta-T20n1063: 1 juans, 3013 bytes
  [ok] cbeta-T20n1064: 1 juans, 12467 bytes
  [ok] cbeta-T20n1065: 1 juans, 32382 bytes
  [ok] cbeta-T20n1066: 1 juans, 11324 bytes
  [ok] cbeta-T20n1067: 1 juans, 46636 bytes
  [ok] cbeta-T20n1068: 1 juans, 6172 bytes
  [ok] cbeta-T20n1069: 3 juans, 31136 bytes
  [ok] cbeta-T20n1070: 1 juans, 13844 bytes
  [ok] cbeta-T20n1071: 1 juans, 13071 bytes
  [ok] cbeta-T20n1072A: 2 juans, 62890 bytes
  [ok] cbeta-T20n1072B: 1 juans, 1239 bytes
  [ok] cbeta-T20n1073: 1 juans, 6029 bytes
  [ok] cbeta-T20n1074: 1 juans, 2582 bytes
  [ok] cbeta-T20n1075: 1 juans, 22166 bytes
  [ok] cbeta-T20n1076: 1 juans, 25209 bytes
  [ok] cbeta-T20n1077: 1 juans, 4209 bytes
  [ok] cbeta-T20n1078: 1 juans, 3357 bytes
  [ok] cbeta-T20n1079: 1 juans, 5921 bytes
  [ok] cbeta-T20n1080: 1 juans, 34065 bytes
  [ok] cbeta-T20n1081: 1 juans, 4794 bytes
  [ok] cbeta-T20n1082: 1 juans, 12303 bytes
  [ok] cbeta-T20n1083: 1 juans, 9370 bytes
  [ok] cbeta-T20n1084: 1 juans, 5146 bytes
  [ok] cbeta-T20n1085: 1 juans, 11511 bytes
  [ok] cbeta-T20n1086: 1 juans, 23530 bytes
  [ok] cbeta-T20n1087: 1 juans, 23785 bytes
  [ok] cbeta-T20n1088: 1 juans, 5927 bytes
  [ok] cbeta-T20n1089: 1 juans, 19303 bytes
  [ok] cbeta-T20n1090: 1 juans, 21311 bytes
  [ok] cbeta-T20n1091: 1 juans, 7008 bytes
  [ok] cbeta-T20n1092: 30 juans, 775253 bytes
  [ok] cbeta-T20n1093: 1 juans, 14984 bytes
  [ok] cbeta-T20n1094: 1 juans, 17551 bytes
  [ok] cbeta-T20n1095: 1 juans, 13409 bytes
  [ok] cbeta-T20n1096: 1 juans, 53617 bytes
  [ok] cbeta-T20n1097: 3 juans, 49701 bytes
  [ok] cbeta-T20n1098: 2 juans, 50409 bytes
  [ok] cbeta-T20n1099: 1 juans, 12889 bytes
  [ok] cbeta-T20n1100: 1 juans, 9870 bytes
  [ok] cbeta-T20n1101: 1 juans, 20650 bytes
  [ok] cbeta-T20n1102: 1 juans, 16202 bytes
  [ok] cbeta-T20n1103a: 1 juans, 24283 bytes
  [ok] cbeta-T20n1103b: 1 juans, 31071 bytes
  [ok] cbeta-T20n1104: 1 juans, 10283 bytes
  [ok] cbeta-T20n1105: 1 juans, 7139 bytes
  [ok] cbeta-T20n1106: 1 juans, 7800 bytes
  [ok] cbeta-T20n1107: 1 juans, 6387 bytes
  [ok] cbeta-T20n1108A: 1 juans, 8720 bytes
  [ok] cbeta-T20n1108B: 1 juans, 9540 bytes
  [ok] cbeta-T20n1109: 1 juans, 2545 bytes
  [ok] cbeta-T20n1110: 1 juans, 19248 bytes
  [ok] cbeta-T20n1111: 1 juans, 4112 bytes
  [ok] cbeta-T20n1112: 1 juans, 31177 bytes
  [ok] cbeta-T20n1113A: 1 juans, 3279 bytes
  [ok] cbeta-T20n1113B: 1 juans, 5536 bytes
  [ok] cbeta-T20n1114: 1 juans, 3774 bytes
  [ok] cbeta-T20n1115: 1 juans, 4113 bytes
  [ok] cbeta-T20n1116: 1 juans, 14483 bytes
  [ok] cbeta-T20n1117: 1 juans, 2843 bytes
  [ok] cbeta-T20n1118: 1 juans, 1020 bytes
  [ok] cbeta-T20n1119: 1 juans, 17368 bytes
  [ok] cbeta-T20n1120A: 1 juans, 28851 bytes
  [ok] cbeta-T20n1120B: 1 juans, 3495 bytes
  [polite-pause] 30s break after 100 requests
  [ok] cbeta-T20n1121: 1 juans, 14970 bytes
  [ok] cbeta-T20n1122: 1 juans, 19777 bytes
  [ok] cbeta-T20n1123: 1 juans, 16387 bytes
  [ok] cbeta-T20n1124: 1 juans, 12225 bytes
  [ok] cbeta-T20n1125: 1 juans, 15052 bytes
  [ok] cbeta-T20n1126: 1 juans, 11332 bytes
  [ok] cbeta-T20n1127: 1 juans, 3271 bytes
  [ok] cbeta-T20n1128: 2 juans, 28493 bytes
  [ok] cbeta-T20n1129: 3 juans, 63567 bytes
  [ok] cbeta-T20n1130: 1 juans, 37467 bytes
  [ok] cbeta-T20n1131: 1 juans, 2712 bytes
  [ok] cbeta-T20n1132: 1 juans, 15908 bytes
  [ok] cbeta-T20n1133: 1 juans, 3676 bytes
  [ok] cbeta-T20n1134A: 1 juans, 6320 bytes
  [ok] cbeta-T20n1134B: 1 juans, 2476 bytes
  [ok] cbeta-T20n1135: 1 juans, 2593 bytes
  [ok] cbeta-T20n1136: 1 juans, 4507 bytes
  [ok] cbeta-T20n1137: 1 juans, 6885 bytes
  [ok] cbeta-T20n1138a: 1 juans, 5267 bytes
  [ok] cbeta-T20n1138b: 1 juans, 6793 bytes
  [ok] cbeta-T20n1139: 1 juans, 12546 bytes
  [ok] cbeta-T20n1140: 1 juans, 8488 bytes
  [ok] cbeta-T20n1141: 2 juans, 44973 bytes
  [ok] cbeta-T20n1142: 1 juans, 198 bytes
  [ok] cbeta-T20n1143: 1 juans, 951 bytes
  [ok] cbeta-T20n1144: 1 juans, 5037 bytes
  [ok] cbeta-T20n1145: 1 juans, 6071 bytes
  [ok] cbeta-T20n1146: 1 juans, 5659 bytes
  [ok] cbeta-T20n1147: 1 juans, 9256 bytes
  [ok] cbeta-T20n1148: 1 juans, 269 bytes
  [ok] cbeta-T20n1149: 1 juans, 8469 bytes
  [ok] cbeta-T20n1150: 1 juans, 5098 bytes
  [ok] cbeta-T20n1151: 1 juans, 14725 bytes
  [ok] cbeta-T20n1152: 1 juans, 3334 bytes
  [ok] cbeta-T20n1153: 2 juans, 93754 bytes
  [ok] cbeta-T20n1154: 1 juans, 25873 bytes
  [ok] cbeta-T20n1155: 1 juans, 18069 bytes
  [ok] cbeta-T20n1156A: 1 juans, 5997 bytes
  [ok] cbeta-T20n1156B: 1 juans, 1571 bytes
  [ok] cbeta-T20n1157: 1 juans, 2492 bytes
  [ok] cbeta-T20n1158: 1 juans, 2511 bytes
  [ok] cbeta-T20n1159A: 1 juans, 12030 bytes
  [ok] cbeta-T20n1159B: 1 juans, 26975 bytes
  [ok] cbeta-T20n1160: 1 juans, 969 bytes
  [ok] cbeta-T20n1161: 1 juans, 29134 bytes
  [ok] cbeta-T20n1162: 1 juans, 5342 bytes
  [ok] cbeta-T20n1163: 1 juans, 8046 bytes
  [ok] cbeta-T20n1164: 1 juans, 10226 bytes
  [ok] cbeta-T20n1165: 1 juans, 9684 bytes
  [ok] cbeta-T20n1166: 1 juans, 1784 bytes
  [ok] cbeta-T20n1167: 1 juans, 4437 bytes
  [ok] cbeta-T20n1168A: 1 juans, 1811 bytes
  [ok] cbeta-T20n1168B: 1 juans, 3168 bytes
  [ok] cbeta-T20n1169: 4 juans, 56529 bytes
  [ok] cbeta-T20n1170: 3 juans, 42297 bytes
  [ok] cbeta-T20n1171: 1 juans, 19203 bytes
  [ok] cbeta-T20n1172: 1 juans, 3013 bytes
  [ok] cbeta-T20n1173: 1 juans, 13765 bytes
  [ok] cbeta-T20n1174: 1 juans, 18400 bytes
  [ok] cbeta-T20n1175: 1 juans, 27190 bytes
  [ok] cbeta-T20n1176: 1 juans, 2081 bytes
  [ok] cbeta-T20n1177A: 10 juans, 245407 bytes
  [ok] cbeta-T20n1177B: 1 juans, 8508 bytes
  [ok] cbeta-T20n1178: 1 juans, 1671 bytes
  [ok] cbeta-T20n1179: 1 juans, 4504 bytes
  [ok] cbeta-T20n1180: 1 juans, 3106 bytes
  [ok] cbeta-T20n1181: 1 juans, 4378 bytes
  [ok] cbeta-T20n1182: 1 juans, 4148 bytes
  [ok] cbeta-T20n1183: 1 juans, 8695 bytes
  [ok] cbeta-T20n1184: 1 juans, 32732 bytes
  [ok] cbeta-T20n1185A: 1 juans, 30613 bytes
  [ok] cbeta-T20n1185B: 1 juans, 47839 bytes
  [ok] cbeta-T20n1186: 1 juans, 2360 bytes
  [ok] cbeta-T20n1187: 2 juans, 36957 bytes
  [ok] cbeta-T20n1188: 2 juans, 31650 bytes
  [ok] cbeta-T20n1189: 1 juans, 33603 bytes
  [ok] cbeta-T20n1190: 1 juans, 56145 bytes
  [ok] cbeta-T20n1191: 20 juans, 298879 bytes
  [ok] cbeta-T20n1192: 5 juans, 110052 bytes
  [ok] cbeta-T20n1193: 1 juans, 16915 bytes
  [ok] cbeta-T20n1194: 1 juans, 9457 bytes
  [ok] cbeta-T20n1195: 1 juans, 7327 bytes
  [ok] cbeta-T20n1196: 1 juans, 1363 bytes
  [ok] cbeta-T20n1197: 1 juans, 3209 bytes
  [ok] cbeta-T20n1198: 1 juans, 1164 bytes

[summary] {"ok": 184}
=== CBETA T20 DONE ===
