=== T21 ===
[canon] T  [volumes] 1: ['T21']...

[volume] T21
  [files] 228
  [ok] cbeta-T21n1199: 1 juans, 28209 bytes
  [ok] cbeta-T21n1200: 1 juans, 22685 bytes
  [ok] cbeta-T21n1201: 3 juans, 41468 bytes
  [ok] cbeta-T21n1202: 1 juans, 16365 bytes
  [ok] cbeta-T21n1203: 1 juans, 15495 bytes
  [ok] cbeta-T21n1204: 1 juans, 6924 bytes
  [ok] cbeta-T21n1205: 1 juans, 19604 bytes
  [ok] cbeta-T21n1206: 1 juans, 1601 bytes
  [ok] cbeta-T21n1207: 1 juans, 2606 bytes
  [ok] cbeta-T21n1208: 1 juans, 2474 bytes
  [ok] cbeta-T21n1209: 1 juans, 6360 bytes
  [ok] cbeta-T21n1210: 1 juans, 3382 bytes
  [ok] cbeta-T21n1211: 1 juans, 27278 bytes
  [ok] cbeta-T21n1212: 1 juans, 103173 bytes
  [ok] cbeta-T21n1213: 1 juans, 1159 bytes
  [ok] cbeta-T21n1214: 1 juans, 9599 bytes
  [ok] cbeta-T21n1215: 1 juans, 7255 bytes
  [ok] cbeta-T21n1216: 1 juans, 20871 bytes
  [ok] cbeta-T21n1217: 3 juans, 55791 bytes
  [ok] cbeta-T21n1218: 1 juans, 16899 bytes
  [ok] cbeta-T21n1219: 1 juans, 1810 bytes
  [ok] cbeta-T21n1220: 1 juans, 6454 bytes
  [ok] cbeta-T21n1221: 1 juans, 7922 bytes
  [ok] cbeta-T21n1222a: 3 juans, 70419 bytes
  [ok] cbeta-T21n1222b: 3 juans, 49305 bytes
  [ok] cbeta-T21n1223: 1 juans, 16020 bytes
  [ok] cbeta-T21n1224: 1 juans, 9042 bytes
  [ok] cbeta-T21n1225: 1 juans, 27584 bytes
  [ok] cbeta-T21n1226: 1 juans, 2942 bytes
  [ok] cbeta-T21n1227: 3 juans, 66472 bytes
  [ok] cbeta-T21n1228: 1 juans, 5301 bytes
  [ok] cbeta-T21n1229: 1 juans, 5353 bytes
  [ok] cbeta-T21n1230: 1 juans, 23005 bytes
  [ok] cbeta-T21n1231: 1 juans, 14648 bytes
  [ok] cbeta-T21n1232: 1 juans, 7900 bytes
  [ok] cbeta-T21n1233: 1 juans, 7929 bytes
  [ok] cbeta-T21n1234: 1 juans, 9863 bytes
  [ok] cbeta-T21n1235: 1 juans, 2065 bytes
  [ok] cbeta-T21n1236: 1 juans, 5319 bytes
  [ok] cbeta-T21n1237: 1 juans, 6644 bytes
  [ok] cbeta-T21n1238: 1 juans, 29038 bytes
  [ok] cbeta-T21n1239: 3 juans, 65538 bytes
  [ok] cbeta-T21n1240: 1 juans, 1280 bytes
  [ok] cbeta-T21n1241: 1 juans, 1798 bytes
  [ok] cbeta-T21n1242: 1 juans, 19934 bytes
  [ok] cbeta-T21n1243: 2 juans, 24959 bytes
  [ok] cbeta-T21n1244: 1 juans, 8002 bytes
  [ok] cbeta-T21n1245: 1 juans, 11067 bytes
  [ok] cbeta-T21n1246: 1 juans, 19840 bytes
  [ok] cbeta-T21n1247: 1 juans, 2844 bytes
  [ok] cbeta-T21n1248: 1 juans, 9915 bytes
  [ok] cbeta-T21n1249: 1 juans, 8686 bytes
  [ok] cbeta-T21n1250: 1 juans, 11742 bytes
  [ok] cbeta-T21n1251: 3 juans, 87921 bytes
  [ok] cbeta-T21n1252a: 1 juans, 1489 bytes
  [ok] cbeta-T21n1252b: 1 juans, 1631 bytes
  [ok] cbeta-T21n1253: 1 juans, 8017 bytes
  [ok] cbeta-T21n1254: 1 juans, 15683 bytes
  [ok] cbeta-T21n1255a: 1 juans, 3257 bytes
  [ok] cbeta-T21n1255b: 1 juans, 4964 bytes
  [ok] cbeta-T21n1256: 1 juans, 2432 bytes
  [ok] cbeta-T21n1257: 7 juans, 95189 bytes
  [ok] cbeta-T21n1258: 1 juans, 1462 bytes
  [ok] cbeta-T21n1259: 1 juans, 998 bytes
  [ok] cbeta-T21n1260: 1 juans, 15057 bytes
  [ok] cbeta-T21n1261: 1 juans, 4109 bytes
  [ok] cbeta-T21n1262: 1 juans, 5355 bytes
  [ok] cbeta-T21n1263: 1 juans, 2324 bytes
  [ok] cbeta-T21n1264a: 1 juans, 2177 bytes
  [ok] cbeta-T21n1264b: 1 juans, 4194 bytes
  [ok] cbeta-T21n1265: 1 juans, 4578 bytes
  [ok] cbeta-T21n1266: 1 juans, 3177 bytes
  [ok] cbeta-T21n1267: 1 juans, 5317 bytes
  [ok] cbeta-T21n1268: 1 juans, 20699 bytes
  [ok] cbeta-T21n1269: 1 juans, 2081 bytes
  [ok] cbeta-T21n1270: 1 juans, 7442 bytes
  [ok] cbeta-T21n1271: 1 juans, 3563 bytes
  [ok] cbeta-T21n1272: 4 juans, 68059 bytes
  [ok] cbeta-T21n1273: 1 juans, 6817 bytes
  [ok] cbeta-T21n1274: 1 juans, 2719 bytes
  [ok] cbeta-T21n1275: 1 juans, 5906 bytes
  [ok] cbeta-T21n1276: 1 juans, 14972 bytes
  [ok] cbeta-T21n1277: 1 juans, 5659 bytes
  [ok] cbeta-T21n1278: 1 juans, 34185 bytes
  [ok] cbeta-T21n1279: 1 juans, 2390 bytes
  [ok] cbeta-T21n1280: 1 juans, 8314 bytes
  [ok] cbeta-T21n1281: 1 juans, 1292 bytes
  [ok] cbeta-T21n1282: 1 juans, 2517 bytes
  [ok] cbeta-T21n1283: 2 juans, 21510 bytes
  [ok] cbeta-T21n1284: 2 juans, 19806 bytes
  [ok] cbeta-T21n1285: 1 juans, 2027 bytes
  [ok] cbeta-T21n1286: 1 juans, 3399 bytes
  [ok] cbeta-T21n1287: 1 juans, 9385 bytes
  [ok] cbeta-T21n1288: 3 juans, 37547 bytes
  [ok] cbeta-T21n1289: 1 juans, 32495 bytes
  [ok] cbeta-T21n1290: 1 juans, 8772 bytes
  [ok] cbeta-T21n1291: 1 juans, 2431 bytes
  [ok] cbeta-T21n1292: 1 juans, 4014 bytes
  [ok] cbeta-T21n1293: 1 juans, 3133 bytes
  [polite-pause] 30s break after 100 requests
  [ok] cbeta-T21n1294: 1 juans, 3478 bytes
  [ok] cbeta-T21n1295: 1 juans, 12070 bytes
  [ok] cbeta-T21n1296: 1 juans, 2122 bytes
  [ok] cbeta-T21n1297: 1 juans, 8282 bytes
  [ok] cbeta-T21n1298: 1 juans, 5403 bytes
  [ok] cbeta-T21n1299: 2 juans, 52747 bytes
  [ok] cbeta-T21n1300: 2 juans, 54284 bytes
  [ok] cbeta-T21n1301: 1 juans, 52370 bytes
  [ok] cbeta-T21n1302: 1 juans, 5408 bytes
  [ok] cbeta-T21n1303: 1 juans, 4778 bytes
  [ok] cbeta-T21n1304: 1 juans, 4817 bytes
  [ok] cbeta-T21n1305: 1 juans, 1887 bytes
  [ok] cbeta-T21n1306: 1 juans, 2374 bytes
  [ok] cbeta-T21n1307: 1 juans, 2775 bytes
  [ok] cbeta-T21n1308: 2 juans, 68284 bytes
  [ok] cbeta-T21n1309: 1 juans, 13564 bytes
  [ok] cbeta-T21n1310: 1 juans, 7449 bytes
  [ok] cbeta-T21n1311: 1 juans, 11089 bytes
  [ok] cbeta-T21n1312: 1 juans, 7205 bytes
  [ok] cbeta-T21n1313: 1 juans, 5060 bytes
  [ok] cbeta-T21n1314: 1 juans, 3926 bytes
  [ok] cbeta-T21n1315: 1 juans, 7141 bytes
  [ok] cbeta-T21n1316: 1 juans, 246 bytes
  [ok] cbeta-T21n1317: 1 juans, 399 bytes
  [ok] cbeta-T21n1318: 1 juans, 16627 bytes
  [ok] cbeta-T21n1319: 1 juans, 6285 bytes
  [ok] cbeta-T21n1320: 1 juans, 33705 bytes
  [ok] cbeta-T21n1321: 1 juans, 21743 bytes
  [ok] cbeta-T21n1322: 1 juans, 4847 bytes
  [ok] cbeta-T21n1323: 1 juans, 1054 bytes
  [ok] cbeta-T21n1324: 1 juans, 2078 bytes
  [ok] cbeta-T21n1325: 1 juans, 1625 bytes
  [ok] cbeta-T21n1326: 1 juans, 607 bytes
  [ok] cbeta-T21n1327: 1 juans, 383 bytes
  [ok] cbeta-T21n1328: 1 juans, 203 bytes
  [ok] cbeta-T21n1329: 1 juans, 301 bytes
  [ok] cbeta-T21n1330: 1 juans, 11940 bytes
  [ok] cbeta-T21n1331: 12 juans, 194991 bytes
  [ok] cbeta-T21n1332: 4 juans, 111529 bytes
  [ok] cbeta-T21n1333: 1 juans, 16018 bytes
  [ok] cbeta-T21n1334: 1 juans, 13209 bytes
  [ok] cbeta-T21n1335: 4 juans, 60371 bytes
  [ok] cbeta-T21n1336: 10 juans, 244296 bytes
  [ok] cbeta-T21n1337: 1 juans, 6729 bytes
  [ok] cbeta-T21n1338: 1 juans, 601 bytes
  [ok] cbeta-T21n1339: 4 juans, 99940 bytes
  [ok] cbeta-T21n1340: 20 juans, 459866 bytes
  [ok] cbeta-T21n1341: 20 juans, 413410 bytes
  [ok] cbeta-T21n1342: 1 juans, 23626 bytes
  [ok] cbeta-T21n1343: 1 juans, 29490 bytes
  [ok] cbeta-T21n1344: 1 juans, 21907 bytes
  [ok] cbeta-T21n1345: 1 juans, 22472 bytes
  [ok] cbeta-T21n1346: 1 juans, 4279 bytes
  [ok] cbeta-T21n1347: 1 juans, 3167 bytes
  [ok] cbeta-T21n1348: 1 juans, 11571 bytes
  [ok] cbeta-T21n1349: 1 juans, 4388 bytes
  [ok] cbeta-T21n1350: 1 juans, 2613 bytes
  [ok] cbeta-T21n1351: 1 juans, 2653 bytes
  [ok] cbeta-T21n1352: 1 juans, 3078 bytes
  [ok] cbeta-T21n1353: 1 juans, 9617 bytes
  [ok] cbeta-T21n1354: 1 juans, 20270 bytes
  [ok] cbeta-T21n1355: 1 juans, 9769 bytes
  [ok] cbeta-T21n1356: 1 juans, 2855 bytes
  [ok] cbeta-T21n1357: 1 juans, 3158 bytes
  [ok] cbeta-T21n1358: 1 juans, 3654 bytes
  [ok] cbeta-T21n1359: 1 juans, 4274 bytes
  [ok] cbeta-T21n1360: 1 juans, 1179 bytes
  [ok] cbeta-T21n1361: 1 juans, 17341 bytes
  [ok] cbeta-T21n1362: 1 juans, 4950 bytes
  [ok] cbeta-T21n1363: 1 juans, 2516 bytes
  [ok] cbeta-T21n1364: 1 juans, 1801 bytes
  [ok] cbeta-T21n1365: 1 juans, 1869 bytes
  [ok] cbeta-T21n1366: 1 juans, 2074 bytes
  [ok] cbeta-T21n1367: 1 juans, 2129 bytes
  [ok] cbeta-T21n1368: 1 juans, 812 bytes
